period_end,ghi
2023-07-16 13:30:00-05:00,865
2023-07-16 14:00:00-05:00,815
2023-07-16 14:30:00-05:00,600
2023-07-16 15:00:00-05:00,788
2023-07-16 15:30:00-05:00,762
2023-07-16 16:00:00-05:00,700
2023-07-16 16:30:00-05:00,478
2023-07-16 17:00:00-05:00,472
2023-07-16 17:30:00-05:00,427
2023-07-16 18:00:00-05:00,203
2023-07-16 18:30:00-05:00,143
2023-07-16 19:00:00-05:00,90
2023-07-16 19:30:00-05:00,44
2023-07-16 20:00:00-05:00,14
2023-07-16 20:30:00-05:00,2
2023-07-16 21:00:00-05:00,0
2023-07-16 21:30:00-05:00,0
2023-07-16 22:00:00-05:00,0
2023-07-16 22:30:00-05:00,0
2023-07-16 23:00:00-05:00,0
2023-07-16 23:30:00-05:00,0
2023-07-17 00:00:00-05:00,0
2023-07-17 00:30:00-05:00,0
2023-07-17 01:00:00-05:00,0
2023-07-17 01:30:00-05:00,0
2023-07-17 02:00:00-05:00,0
2023-07-17 02:30:00-05:00,0
2023-07-17 03:00:00-05:00,0
2023-07-17 03:30:00-05:00,0
2023-07-17 04:00:00-05:00,0
2023-07-17 04:30:00-05:00,0
2023-07-17 05:00:00-05:00,0
2023-07-17 05:30:00-05:00,0
2023-07-17 06:00:00-05:00,0
2023-07-17 06:30:00-05:00,13
2023-07-17 07:00:00-05:00,56
2023-07-17 07:30:00-05:00,117
2023-07-17 08:00:00-05:00,203
2023-07-17 08:30:00-05:00,286
2023-07-17 09:00:00-05:00,369
2023-07-17 09:30:00-05:00,522
2023-07-17 10:00:00-05:00,619
2023-07-17 10:30:00-05:00,707
2023-07-17 11:00:00-05:00,730
2023-07-17 11:30:00-05:00,777
2023-07-17 12:00:00-05:00,789
2023-07-17 12:30:00-05:00,830
2023-07-17 13:00:00-05:00,979
2023-07-17 13:30:00-05:00,981
2023-07-17 14:00:00-05:00,970
2023-07-17 14:30:00-05:00,941
2023-07-17 15:00:00-05:00,898
2023-07-17 15:30:00-05:00,838
2023-07-17 16:00:00-05:00,769
2023-07-17 16:30:00-05:00,681
2023-07-17 17:00:00-05:00,587
2023-07-17 17:30:00-05:00,474
2023-07-17 18:00:00-05:00,373
2023-07-17 18:30:00-05:00,195
2023-07-17 19:00:00-05:00,115
2023-07-17 19:30:00-05:00,55
2023-07-17 20:00:00-05:00,15
2023-07-17 20:30:00-05:00,2
2023-07-17 21:00:00-05:00,0
2023-07-17 21:30:00-05:00,0
2023-07-17 22:00:00-05:00,0
2023-07-17 22:30:00-05:00,0
2023-07-17 23:00:00-05:00,0
2023-07-17 23:30:00-05:00,0
2023-07-18 00:00:00-05:00,0
2023-07-18 00:30:00-05:00,0
2023-07-18 01:00:00-05:00,0
2023-07-18 01:30:00-05:00,0
2023-07-18 02:00:00-05:00,0
2023-07-18 02:30:00-05:00,0
2023-07-18 03:00:00-05:00,0
2023-07-18 03:30:00-05:00,0
2023-07-18 04:00:00-05:00,0
2023-07-18 04:30:00-05:00,0
2023-07-18 05:00:00-05:00,0
2023-07-18 05:30:00-05:00,0
2023-07-18 06:00:00-05:00,0
2023-07-18 06:30:00-05:00,17
2023-07-18 07:00:00-05:00,77
2023-07-18 07:30:00-05:00,75
2023-07-18 08:00:00-05:00,200
2023-07-18 08:30:00-05:00,297
2023-07-18 09:00:00-05:00,286
2023-07-18 09:30:00-05:00,375
2023-07-18 10:00:00-05:00,505
2023-07-18 10:30:00-05:00,636
2023-07-18 11:00:00-05:00,749
2023-07-18 11:30:00-05:00,830
2023-07-18 12:00:00-05:00,886
2023-07-18 12:30:00-05:00,958
2023-07-18 13:00:00-05:00,998
2023-07-18 13:30:00-05:00,860
2023-07-18 14:00:00-05:00,723
2023-07-18 14:30:00-05:00,953
2023-07-18 15:00:00-05:00,850
2023-07-18 15:30:00-05:00,850
2023-07-18 16:00:00-05:00,641
2023-07-18 16:30:00-05:00,658
2023-07-18 17:00:00-05:00,577
2023-07-18 17:30:00-05:00,463
2023-07-18 18:00:00-05:00,375
2023-07-18 18:30:00-05:00,228
2023-07-18 19:00:00-05:00,83
2023-07-18 19:30:00-05:00,31
2023-07-18 20:00:00-05:00,11
2023-07-18 20:30:00-05:00,4
2023-07-18 21:00:00-05:00,0
2023-07-18 21:30:00-05:00,0
2023-07-18 22:00:00-05:00,0
2023-07-18 22:30:00-05:00,0
2023-07-18 23:00:00-05:00,0
2023-07-18 23:30:00-05:00,0
2023-07-19 00:00:00-05:00,0
2023-07-19 00:30:00-05:00,0
2023-07-19 01:00:00-05:00,0
2023-07-19 01:30:00-05:00,0
2023-07-19 02:00:00-05:00,0
2023-07-19 02:30:00-05:00,0
2023-07-19 03:00:00-05:00,0
2023-07-19 03:30:00-05:00,0
2023-07-19 04:00:00-05:00,0
2023-07-19 04:30:00-05:00,0
2023-07-19 05:00:00-05:00,0
2023-07-19 05:30:00-05:00,0
2023-07-19 06:00:00-05:00,0
2023-07-19 06:30:00-05:00,10
2023-07-19 07:00:00-05:00,59
2023-07-19 07:30:00-05:00,126
2023-07-19 08:00:00-05:00,222
2023-07-19 08:30:00-05:00,338
2023-07-19 09:00:00-05:00,451
2023-07-19 09:30:00-05:00,557
2023-07-19 10:00:00-05:00,652
2023-07-19 10:30:00-05:00,733
2023-07-19 11:00:00-05:00,805
2023-07-19 11:30:00-05:00,869
2023-07-19 12:00:00-05:00,912
2023-07-19 12:30:00-05:00,871
2023-07-19 13:00:00-05:00,584
2023-07-19 13:30:00-05:00,990
2023-07-19 14:00:00-05:00,926
2023-07-19 14:30:00-05:00,991
2023-07-19 15:00:00-05:00,879
2023-07-19 15:30:00-05:00,778
2023-07-19 16:00:00-05:00,782
2023-07-19 16:30:00-05:00,708
2023-07-19 17:00:00-05:00,610
2023-07-19 17:30:00-05:00,407
2023-07-19 18:00:00-05:00,384
2023-07-19 18:30:00-05:00,274
2023-07-19 19:00:00-05:00,127
2023-07-19 19:30:00-05:00,73
2023-07-19 20:00:00-05:00,23
2023-07-19 20:30:00-05:00,3
2023-07-19 21:00:00-05:00,0
2023-07-19 21:30:00-05:00,0
2023-07-19 22:00:00-05:00,0
2023-07-19 22:30:00-05:00,0
2023-07-19 23:00:00-05:00,0
2023-07-19 23:30:00-05:00,0
2023-07-20 00:00:00-05:00,0
2023-07-20 00:30:00-05:00,0
2023-07-20 01:00:00-05:00,0
2023-07-20 01:30:00-05:00,0
2023-07-20 02:00:00-05:00,0
2023-07-20 02:30:00-05:00,0
2023-07-20 03:00:00-05:00,0
2023-07-20 03:30:00-05:00,0
2023-07-20 04:00:00-05:00,0
2023-07-20 04:30:00-05:00,0
2023-07-20 05:00:00-05:00,0
2023-07-20 05:30:00-05:00,0
2023-07-20 06:00:00-05:00,0
2023-07-20 06:30:00-05:00,16
2023-07-20 07:00:00-05:00,50
2023-07-20 07:30:00-05:00,86
2023-07-20 08:00:00-05:00,121
2023-07-20 08:30:00-05:00,178
2023-07-20 09:00:00-05:00,341
2023-07-20 09:30:00-05:00,294
2023-07-20 10:00:00-05:00,459
2023-07-20 10:30:00-05:00,711
2023-07-20 11:00:00-05:00,808
2023-07-20 11:30:00-05:00,864
2023-07-20 12:00:00-05:00,758
2023-07-20 12:30:00-05:00,958
2023-07-20 13:00:00-05:00,989
2023-07-20 13:30:00-05:00,867
2023-07-20 14:00:00-05:00,962
2023-07-20 14:30:00-05:00,776
2023-07-20 15:00:00-05:00,687
2023-07-20 15:30:00-05:00,499
2023-07-20 16:00:00-05:00,545
2023-07-20 16:30:00-05:00,560
2023-07-20 17:00:00-05:00,603
2023-07-20 17:30:00-05:00,495
2023-07-20 18:00:00-05:00,365
2023-07-20 18:30:00-05:00,259
2023-07-20 19:00:00-05:00,161
2023-07-20 19:30:00-05:00,77
2023-07-20 20:00:00-05:00,17
2023-07-20 20:30:00-05:00,1
2023-07-20 21:00:00-05:00,0
2023-07-20 21:30:00-05:00,0
2023-07-20 22:00:00-05:00,0
2023-07-20 22:30:00-05:00,0
2023-07-20 23:00:00-05:00,0
2023-07-20 23:30:00-05:00,0
2023-07-21 00:00:00-05:00,0
2023-07-21 00:30:00-05:00,0
2023-07-21 01:00:00-05:00,0
2023-07-21 01:30:00-05:00,0
2023-07-21 02:00:00-05:00,0
2023-07-21 02:30:00-05:00,0
2023-07-21 03:00:00-05:00,0
2023-07-21 03:30:00-05:00,0
2023-07-21 04:00:00-05:00,0
2023-07-21 04:30:00-05:00,0
2023-07-21 05:00:00-05:00,0
2023-07-21 05:30:00-05:00,0
2023-07-21 06:00:00-05:00,0
2023-07-21 06:30:00-05:00,3
2023-07-21 07:00:00-05:00,27
2023-07-21 07:30:00-05:00,49
2023-07-21 08:00:00-05:00,18
2023-07-21 08:30:00-05:00,5
2023-07-21 09:00:00-05:00,17
2023-07-21 09:30:00-05:00,93
2023-07-21 10:00:00-05:00,242
2023-07-21 10:30:00-05:00,415
2023-07-21 11:00:00-05:00,591
2023-07-21 11:30:00-05:00,671
2023-07-21 12:00:00-05:00,589
2023-07-21 12:30:00-05:00,668
2023-07-21 13:00:00-05:00,584
2023-07-21 13:30:00-05:00,585
2023-07-21 14:00:00-05:00,646
2023-07-21 14:30:00-05:00,361
2023-07-21 15:00:00-05:00,256
2023-07-21 15:30:00-05:00,261
2023-07-21 16:00:00-05:00,359
2023-07-21 16:30:00-05:00,490
2023-07-21 17:00:00-05:00,545
2023-07-21 17:30:00-05:00,482
2023-07-21 18:00:00-05:00,268
2023-07-21 18:30:00-05:00,178
2023-07-21 19:00:00-05:00,133
2023-07-21 19:30:00-05:00,68
2023-07-21 20:00:00-05:00,17
2023-07-21 20:30:00-05:00,1
2023-07-21 21:00:00-05:00,0
2023-07-21 21:30:00-05:00,0
2023-07-21 22:00:00-05:00,0
2023-07-21 22:30:00-05:00,0
2023-07-21 23:00:00-05:00,0
2023-07-21 23:30:00-05:00,0
2023-07-22 00:00:00-05:00,0
2023-07-22 00:30:00-05:00,0
2023-07-22 01:00:00-05:00,0
2023-07-22 01:30:00-05:00,0
2023-07-22 02:00:00-05:00,0
2023-07-22 02:30:00-05:00,0
2023-07-22 03:00:00-05:00,0
2023-07-22 03:30:00-05:00,0
2023-07-22 04:00:00-05:00,0
2023-07-22 04:30:00-05:00,0
2023-07-22 05:00:00-05:00,0
2023-07-22 05:30:00-05:00,0
2023-07-22 06:00:00-05:00,0
2023-07-22 06:30:00-05:00,11
2023-07-22 07:00:00-05:00,46
2023-07-22 07:30:00-05:00,94
2023-07-22 08:00:00-05:00,202
2023-07-22 08:30:00-05:00,326
2023-07-22 09:00:00-05:00,467
2023-07-22 09:30:00-05:00,515
2023-07-22 10:00:00-05:00,645
2023-07-22 10:30:00-05:00,736
2023-07-22 11:00:00-05:00,482
2023-07-22 11:30:00-05:00,640
2023-07-22 12:00:00-05:00,576
2023-07-22 12:30:00-05:00,753
2023-07-22 13:00:00-05:00,819
2023-07-22 13:30:00-05:00,627
2023-07-22 14:00:00-05:00,686
2023-07-22 14:30:00-05:00,379
2023-07-22 15:00:00-05:00,634
2023-07-22 15:30:00-05:00,762
2023-07-22 16:00:00-05:00,516
2023-07-22 16:30:00-05:00,450
2023-07-22 17:00:00-05:00,608
2023-07-22 17:30:00-05:00,540
2023-07-22 18:00:00-05:00,343
2023-07-22 18:30:00-05:00,113
2023-07-22 19:00:00-05:00,76
2023-07-22 19:30:00-05:00,102
2023-07-22 20:00:00-05:00,36
2023-07-22 20:30:00-05:00,3
2023-07-22 21:00:00-05:00,0
2023-07-22 21:30:00-05:00,0
2023-07-22 22:00:00-05:00,0
2023-07-22 22:30:00-05:00,0
2023-07-22 23:00:00-05:00,0
2023-07-22 23:30:00-05:00,0
2023-07-23 00:00:00-05:00,0
