period_end,ghi
2023-07-18 15:00:00-05:00,833
2023-07-18 15:30:00-05:00,744
2023-07-18 16:00:00-05:00,746
2023-07-18 16:30:00-05:00,557
2023-07-18 17:00:00-05:00,525
2023-07-18 17:30:00-05:00,487
2023-07-18 18:00:00-05:00,389
2023-07-18 18:30:00-05:00,279
2023-07-18 19:00:00-05:00,190
2023-07-18 19:30:00-05:00,46
2023-07-18 20:00:00-05:00,8
2023-07-18 20:30:00-05:00,0
2023-07-18 21:00:00-05:00,0
2023-07-18 21:30:00-05:00,0
2023-07-18 22:00:00-05:00,0
2023-07-18 22:30:00-05:00,0
2023-07-18 23:00:00-05:00,0
2023-07-18 23:30:00-05:00,0
2023-07-19 00:00:00-05:00,0
2023-07-20 00:30:00-05:00,0
2023-07-20 01:00:00-05:00,0
2023-07-20 01:30:00-05:00,0
2023-07-20 02:00:00-05:00,0
2023-07-20 02:30:00-05:00,0
2023-07-20 03:00:00-05:00,0
2023-07-20 03:30:00-05:00,0
2023-07-20 04:00:00-05:00,0
2023-07-20 04:30:00-05:00,0
2023-07-20 05:00:00-05:00,0
2023-07-20 05:30:00-05:00,0
2023-07-20 06:00:00-05:00,0
2023-07-20 06:30:00-05:00,4
2023-07-20 07:00:00-05:00,24
2023-07-20 07:30:00-05:00,100
2023-07-20 08:00:00-05:00,203
2023-07-20 08:30:00-05:00,229
2023-07-20 09:00:00-05:00,319
2023-07-20 09:30:00-05:00,311
2023-07-20 10:00:00-05:00,370
2023-07-20 10:30:00-05:00,520
2023-07-20 11:00:00-05:00,599
2023-07-20 11:30:00-05:00,685
2023-07-20 12:00:00-05:00,802
2023-07-20 12:30:00-05:00,914
2023-07-20 13:00:00-05:00,820
2023-07-20 13:30:00-05:00,881
2023-07-20 14:00:00-05:00,828
2023-07-20 14:30:00-05:00,873
2023-07-20 15:00:00-05:00,774
2023-07-20 15:30:00-05:00,755
2023-07-20 16:00:00-05:00,541
2023-07-20 16:30:00-05:00,558
2023-07-20 17:00:00-05:00,484
2023-07-20 17:30:00-05:00,475
2023-07-20 18:00:00-05:00,377
2023-07-20 18:30:00-05:00,278
2023-07-20 19:00:00-05:00,182
2023-07-20 19:30:00-05:00,93
2023-07-20 20:00:00-05:00,21
2023-07-20 20:30:00-05:00,0
2023-07-20 21:00:00-05:00,0
2023-07-20 21:30:00-05:00,0
2023-07-20 22:00:00-05:00,0
2023-07-20 22:30:00-05:00,0
2023-07-20 23:00:00-05:00,0
2023-07-20 23:30:00-05:00,0
2023-07-21 00:00:00-05:00,0
2023-07-21 00:30:00-05:00,0
2023-07-21 01:00:00-05:00,0
2023-07-21 01:30:00-05:00,0
2023-07-21 02:00:00-05:00,0
2023-07-21 02:30:00-05:00,0
2023-07-21 03:00:00-05:00,0
2023-07-21 03:30:00-05:00,0
2023-07-21 04:00:00-05:00,0
2023-07-21 04:30:00-05:00,0
2023-07-21 05:00:00-05:00,0
2023-07-21 05:30:00-05:00,0
2023-07-21 06:00:00-05:00,0
2023-07-21 06:30:00-05:00,0
2023-07-21 07:00:00-05:00,3
2023-07-21 07:30:00-05:00,65
2023-07-21 08:00:00-05:00,142
2023-07-21 08:30:00-05:00,34
2023-07-21 09:00:00-05:00,51
2023-07-21 09:30:00-05:00,46
2023-07-21 10:00:00-05:00,126
2023-07-21 10:30:00-05:00,526
2023-07-21 11:00:00-05:00,728
2023-07-21 11:30:00-05:00,798
2023-07-21 12:00:00-05:00,708
2023-07-21 12:30:00-05:00,545
2023-07-21 13:00:00-05:00,537
2023-07-21 13:30:00-05:00,537
2023-07-21 14:00:00-05:00,446
2023-07-21 14:30:00-05:00,510
2023-07-21 15:00:00-05:00,454
2023-07-21 15:30:00-05:00,318
2023-07-21 16:00:00-05:00,212
2023-07-21 16:30:00-05:00,386
2023-07-21 17:00:00-05:00,365
2023-07-21 17:30:00-05:00,415
2023-07-21 18:00:00-05:00,328
2023-07-21 18:30:00-05:00,181
2023-07-21 19:00:00-05:00,102
2023-07-21 19:30:00-05:00,60
2023-07-21 20:00:00-05:00,12
2023-07-21 20:30:00-05:00,0
2023-07-21 21:00:00-05:00,0
2023-07-21 21:30:00-05:00,0
2023-07-21 22:00:00-05:00,0
2023-07-21 22:30:00-05:00,0
2023-07-21 23:00:00-05:00,0
2023-07-21 23:30:00-05:00,0
2023-07-22 00:00:00-05:00,0
2023-07-22 00:30:00-05:00,0
2023-07-22 01:00:00-05:00,0
2023-07-22 01:30:00-05:00,0
2023-07-22 02:00:00-05:00,0
2023-07-22 02:30:00-05:00,0
2023-07-22 03:00:00-05:00,0
2023-07-22 03:30:00-05:00,0
2023-07-22 04:00:00-05:00,0
2023-07-22 04:30:00-05:00,0
2023-07-22 05:00:00-05:00,0
2023-07-22 05:30:00-05:00,0
2023-07-22 06:00:00-05:00,0
2023-07-22 06:30:00-05:00,8
2023-07-22 07:00:00-05:00,47
2023-07-22 07:30:00-05:00,129
2023-07-22 08:00:00-05:00,188
2023-07-22 08:30:00-05:00,334
2023-07-22 09:00:00-05:00,436
2023-07-22 09:30:00-05:00,535
2023-07-22 10:00:00-05:00,582
2023-07-22 10:30:00-05:00,637
2023-07-22 11:00:00-05:00,715
2023-07-22 11:30:00-05:00,763
2023-07-22 12:00:00-05:00,810
2023-07-22 12:30:00-05:00,804
2023-07-22 13:00:00-05:00,772
2023-07-22 13:30:00-05:00,809
2023-07-22 14:00:00-05:00,850
2023-07-22 14:30:00-05:00,569
2023-07-22 15:00:00-05:00,813
2023-07-22 15:30:00-05:00,716
2023-07-22 16:00:00-05:00,725
2023-07-22 16:30:00-05:00,567
2023-07-22 17:00:00-05:00,589
2023-07-22 17:30:00-05:00,505
2023-07-22 18:00:00-05:00,405
2023-07-22 18:30:00-05:00,302
2023-07-22 19:00:00-05:00,201
2023-07-22 19:30:00-05:00,107
2023-07-22 20:00:00-05:00,32
2023-07-22 20:30:00-05:00,0
2023-07-22 21:00:00-05:00,0
2023-07-22 21:30:00-05:00,0
2023-07-22 22:00:00-05:00,0
2023-07-22 22:30:00-05:00,0
2023-07-22 23:00:00-05:00,0
2023-07-22 23:30:00-05:00,0
2023-07-23 00:00:00-05:00,0
