period_start,ghi
2021-05-14 22:30:00,0.0
2021-05-14 22:35:00,0.0
2021-05-14 22:40:00,0.0
2021-05-14 22:45:00,0.0
2021-05-14 22:50:00,0.0
2021-05-14 22:55:00,0.0
2021-05-14 23:00:00,0.0
2021-05-14 23:05:00,0.0
2021-05-14 23:10:00,0.0
2021-05-14 23:15:00,0.0
2021-05-14 23:20:00,0.0
2021-05-14 23:25:00,0.0
2021-05-14 23:30:00,0.0
2021-05-14 23:35:00,0.0
2021-05-14 23:40:00,0.0
2021-05-14 23:45:00,0.0
2021-05-14 23:50:00,0.0
2021-05-14 23:55:00,0.0
2021-05-15 00:00:00,0.0
2021-05-15 00:05:00,0.0
2021-05-15 00:10:00,0.0
2021-05-15 00:15:00,0.0
2021-05-15 00:20:00,0.0
2021-05-15 00:25:00,0.0
2021-05-15 00:30:00,0.0
2021-05-15 00:35:00,0.0
2021-05-15 00:40:00,0.0
2021-05-15 00:45:00,0.0
2021-05-15 00:50:00,0.0
2021-05-15 00:55:00,0.0
2021-05-15 01:00:00,0.0
2021-05-15 01:05:00,0.0
2021-05-15 01:10:00,0.0
2021-05-15 01:15:00,0.0
2021-05-15 01:20:00,0.0
2021-05-15 01:25:00,0.0
2021-05-15 01:30:00,0.0
2021-05-15 01:35:00,0.0
2021-05-15 01:40:00,0.0
2021-05-15 01:45:00,0.0
2021-05-15 01:50:00,0.0
2021-05-15 01:55:00,0.0
2021-05-15 02:00:00,0.0
2021-05-15 02:05:00,0.0
2021-05-15 02:10:00,0.0
2021-05-15 02:15:00,0.0
2021-05-15 02:20:00,0.0
2021-05-15 02:25:00,0.0
2021-05-15 02:30:00,0.0
2021-05-15 02:35:00,0.0
2021-05-15 02:40:00,0.0
2021-05-15 02:45:00,0.0
2021-05-15 02:50:00,0.0
2021-05-15 02:55:00,0.0
2021-05-15 03:00:00,0.0
2021-05-15 03:05:00,0.0
2021-05-15 03:10:00,0.0
2021-05-15 03:15:00,0.0
2021-05-15 03:20:00,0.0
2021-05-15 03:25:00,0.0
2021-05-15 03:30:00,0.0
2021-05-15 03:35:00,0.0
2021-05-15 03:40:00,0.0
2021-05-15 03:45:00,0.0
2021-05-15 03:50:00,0.0
2021-05-15 03:55:00,0.0
2021-05-15 04:00:00,0.0
2021-05-15 04:05:00,0.0
2021-05-15 04:10:00,0.0
2021-05-15 04:15:00,0.0
2021-05-15 04:20:00,0.0
2021-05-15 04:25:00,0.0
2021-05-15 04:30:00,0.0
2021-05-15 04:35:00,0.0
2021-05-15 04:40:00,0.0
2021-05-15 04:45:00,0.0
2021-05-15 04:50:00,0.0
2021-05-15 04:55:00,0.0
2021-05-15 05:00:00,0.0
2021-05-15 05:05:00,0.0
2021-05-15 05:10:00,0.0
2021-05-15 05:15:00,0.0
2021-05-15 05:20:00,0.0
2021-05-15 05:25:00,0.0
2021-05-15 05:30:00,0.0
2021-05-15 05:35:00,0.0
2021-05-15 05:40:00,0.7
2021-05-15 05:45:00,2.88
2021-05-15 05:50:00,3.6799999999999997
2021-05-15 05:55:00,5.58
2021-05-15 06:00:00,7.32
2021-05-15 06:05:00,13.16
2021-05-15 06:10:00,20.54
2021-05-15 06:15:00,27.419999999999998
2021-05-15 06:20:00,33.64
2021-05-15 06:25:00,41.2
2021-05-15 06:30:00,55.1
2021-05-15 06:35:00,52.17999999999999
2021-05-15 06:40:00,64.8
2021-05-15 06:45:00,77.16
2021-05-15 06:50:00,92.64
2021-05-15 06:55:00,108.58
2021-05-15 07:00:00,132.64000000000001
2021-05-15 07:05:00,132.26
2021-05-15 07:10:00,130.07999999999998
2021-05-15 07:15:00,132.92000000000002
2021-05-15 07:20:00,160.0
2021-05-15 07:25:00,194.12
2021-05-15 07:30:00,212.14000000000001
2021-05-15 07:35:00,251.34
2021-05-15 07:40:00,278.4
2021-05-15 07:45:00,292.1
2021-05-15 07:50:00,303.68
2021-05-15 07:55:00,317.64
2021-05-15 08:00:00,340.5
2021-05-15 08:05:00,361.96
2021-05-15 08:10:00,378.26
2021-05-15 08:15:00,396.02
2021-05-15 08:20:00,415.03999999999996
2021-05-15 08:25:00,432.41999999999996
2021-05-15 08:30:00,449.48
2021-05-15 08:35:00,466.71999999999997
2021-05-15 08:40:00,485.26000000000005
2021-05-15 08:45:00,502.16
2021-05-15 08:50:00,518.86
2021-05-15 08:55:00,534.8399999999999
2021-05-15 09:00:00,552.8399999999999
2021-05-15 09:05:00,569.28
2021-05-15 09:10:00,585.2
2021-05-15 09:15:00,602.4
2021-05-15 09:20:00,617.0600000000001
2021-05-15 09:25:00,633.48
2021-05-15 09:30:00,650.5
2021-05-15 09:35:00,666.9399999999999
2021-05-15 09:40:00,678.02
2021-05-15 09:45:00,686.88
2021-05-15 09:50:00,708.98
2021-05-15 09:55:00,725.14
2021-05-15 10:00:00,738.26
2021-05-15 10:05:00,753.4399999999999
2021-05-15 10:10:00,760.86
2021-05-15 10:15:00,777.74
2021-05-15 10:20:00,791.1
2021-05-15 10:25:00,803.98
2021-05-15 10:30:00,816.8199999999999
2021-05-15 10:35:00,825.9399999999999
2021-05-15 10:40:00,842.6600000000001
2021-05-15 10:45:00,850.22
2021-05-15 10:50:00,857.3
2021-05-15 10:55:00,868.4200000000001
2021-05-15 11:00:00,882.0200000000001
2021-05-15 11:05:00,890.74
2021-05-15 11:15:00,906.6200000000001
2021-05-15 11:20:00,915.74
2021-05-15 11:25:00,923.14
2021-05-15 11:30:00,930.8
2021-05-15 11:35:00,938.6600000000001
2021-05-15 11:40:00,944.6600000000001
2021-05-15 11:45:00,952.36
2021-05-15 11:50:00,957.46
2021-05-15 11:55:00,970.4799999999999
2021-05-15 12:00:00,976.5600000000001
2021-05-15 12:05:00,980.46
2021-05-15 12:10:00,979.96
2021-05-15 12:15:00,983.9399999999999
2021-05-15 12:20:00,986.1200000000001
2021-05-15 12:25:00,985.5799999999999
2021-05-15 12:30:00,989.5200000000001
2021-05-15 12:35:00,992.4200000000001
2021-05-15 12:40:00,995.3399999999999
2021-05-15 12:45:00,1003.5600000000001
2021-05-15 12:50:00,1013.68
2021-05-15 12:55:00,1036.3799999999999
2021-05-15 13:00:00,1023.4199999999998
2021-05-15 13:05:00,1027.72
2021-05-15 13:10:00,1031.06
2021-05-15 13:15:00,1043.5
2021-05-15 13:20:00,1044.4
2021-05-15 13:25:00,1056.8200000000002
2021-05-15 13:30:00,1078.98
2021-05-15 13:35:00,1085.16
2021-05-15 13:40:00,1009.68
2021-05-15 13:45:00,642.8399999999999
2021-05-15 13:50:00,1059.34
2021-05-15 13:55:00,1123.3200000000002
2021-05-15 14:00:00,965.4200000000001
2021-05-15 14:05:00,312.1
2021-05-15 14:10:00,434.28000000000003
2021-05-15 14:15:00,397.12
2021-05-15 14:20:00,649.78
2021-05-15 14:25:00,378.86
2021-05-15 14:30:00,345.28000000000003
2021-05-15 14:35:00,464.03999999999996
2021-05-15 14:40:00,470.18
2021-05-15 14:45:00,496.56000000000006
2021-05-15 14:50:00,833.36
2021-05-15 14:55:00,792.0600000000001
2021-05-15 15:00:00,985.0
2021-05-15 15:05:00,657.74
2021-05-15 15:10:00,800.9
2021-05-15 15:15:00,393.62
2021-05-15 15:20:00,880.1
2021-05-15 15:25:00,849.14
